Subject,1--1,1--2,1--3,1--4,1--5,1--6,1--7,1--8,2--1,2--2,2--3,2--4,2--5,2--6,2--7,3--1,3--2,3--3,3--4,3--5,3--6,3--7,3--8,4--1,4--2,4--3,4--4,4--5,4--6,5--1,5--2,5--3,5--4,5--5,5--6,6--1,6--2,6--3,6--4,6--5,6--6,6--7,6--8,7--1,7--2,7--3,7--4,7--5,7--6,7--7,7--8,7--9
1,6,6,8,25,31,44,67,33,8,8,62,38,70,8,22,2,7,1,6,47,47,60,40,8,2,8,5,89,6,3,8,6,55,9,36,7,8,59,41,37,0,63,0,10,3,9,10,6,73,21,54,46
2,3,6,4,50,20,30,50,50,8,8,80,20,40,20,40,4,3,3,20,40,40,50,50,6,5,5,50,20,30,7,5,5,50,20,30,8,7,50,50,25,0,50,25,8,9,10,8,50,20,30,50,50
3,3,6,4,24,45,31,37,63,8,4,73,27,16,69,15,2,3,2,30,43,27,47,53,9,3,5,34,15,51,9,7,8,22,49,29,8,9,67,33,55,8,27,10,7,7,7,7,23,52,25,50,50
4,6,6,6,0,100,0,50,50,3,3,0,100,10,80,10,4,6,4,0,100,0,50,50,6,6,6,0,100,0,7,7,7,0,100,0,6,6,20,80,20,10,60,10,7,5,9,7,0,100,0,50,50
5,5,6,4,10,50,40,42,58,4,7,70,30,60,10,30,7,7,8,20,40,40,10,90,8,3,7,15,80,5,10,8,10,20,70,10,4,4,60,40,30,40,15,15,6,7,6,8,30,30,40,50,50
6,2,6,2,0,60,40,50,50,8,8,50,50,60,10,30,6,3,6,20,50,30,80,20,2,4,3,33,34,33,8,9,8,33,34,33,7,6,60,40,0,20,60,20,9,7,6,8,50,50,0,50,50
7,8,6,7,20,60,20,50,50,4,8,90,10,30,0,70,8,8,6,30,10,60,50,50,7,10,9,40,50,10,8,8,8,40,60,0,6,8,70,30,0,10,85,5,8,7,8,7,40,50,10,50,50
8,4,6,6,40,20,40,41,59,4,4,70,30,20,60,20,7,8,8,40,47,13,82,18,8,4,6,20,40,40,7,9,7,40,45,15,8,5,60,40,40,16,16,28,7,7,7,8,49,24,27,51,49
9,8,6,8,0,100,0,84,16,3,7,80,20,45,10,45,2,7,2,0,80,20,100,0,6,2,8,10,45,45,9,4,9,20,40,40,8,6,50,50,20,10,70,0,8,7,9,9,20,60,20,40,60
10,9,6,9,0,100,0,50,50,2,3,18,82,0,71,29,8,8,9,25,61,14,50,50,9,2,2,75,8,17,4,8,8,88,8,4,4,2,69,31,17,47,6,30,9,9,9,10,51,14,35,55,45
11,8,6,7,50,30,20,65,35,3,8,68,32,59,15,26,7,3,3,79,10,11,75,25,6,6,8,52,24,24,8,8,8,34,33,33,3,4,60,40,55,13,8,24,3,5,8,5,49,30,21,70,30
12,10,6,7,9,77,14,49,51,6,9,70,30,12,72,16,2,6,2,13,78,9,48,52,4,4,4,8,67,25,8,4,7,16,57,27,4,5,58,42,70,12,12,6,8,7,7,7,43,43,14,67,33
13,3,6,3,4,81,15,77,23,3,7,68,32,26,26,48,8,9,8,13,68,19,63,37,7,1,7,5,80,15,7,9,8,14,73,13,6,4,61,39,69,25,5,1,9,7,8,9,6,68,26,47,53
14,7,6,7,20,80,0,50,50,8,8,64,36,44,28,28,3,2,2,77,23,0,100,0,5,8,7,31,51,18,8,9,9,30,70,0,5,4,58,42,24,27,11,38,8,8,7,8,11,89,0,50,50
15,3,6,4,21,60,19,40,60,8,8,80,20,42,20,38,4,8,6,36,37,27,68,32,3,8,3,11,78,11,8,10,8,33,34,33,5,3,34,66,31,48,9,12,7,6,7,8,34,34,32,50,50
