Subject,1--1,1--2,1--3,1--4,1--5,1--6,1--7,1--8,2--1,2--2,2--3,2--4,2--5,2--6,2--7,2--8,3--1,3--2,3--3,3--4,3--5,3--6,4--1,4--2,4--3,4--4,4--5,4--6,5--1,5--2,5--3,5--4,5--5,5--6,5--7,6--1,6--2,6--3,6--4,6--5,6--6,6--7,6--8,6--9,7--1,7--2,7--3,7--4,7--5,7--6,7--7,7--8
1,8,6,7,21,62,17,59,41,3,7,8,58,17,25,67,33,3,2,4,20,43,37,8,2,9,13,79,8,8,8,34,66,13,33,54,8,8,2,7,21,39,40,77,23,9,9,25,75,8,48,9,35
2,8,6,7,50,40,10,60,40,7,3,8,70,20,10,70,30,8,5,4,80,0,20,2,5,4,40,60,0,7,5,60,40,60,30,10,1,7,6,2,5,80,15,40,60,8,10,60,40,40,30,5,25
3,2,6,4,48,39,13,77,23,2,3,4,14,45,41,13,87,3,3,3,21,54,25,2,3,4,29,32,39,6,7,76,24,12,39,49,4,9,8,6,32,18,50,49,51,7,7,73,27,5,31,6,58
4,8,6,8,30,60,10,80,20,2,6,2,40,20,40,75,25,2,6,1,20,40,40,8,6,9,25,50,25,8,7,75,25,20,40,40,4,6,4,3,50,20,30,25,75,9,9,40,60,20,40,10,30
5,4,6,4,2,72,26,24,76,8,7,8,42,30,28,49,51,8,3,8,64,9,27,8,3,6,10,45,45,9,8,35,65,15,15,70,3,4,3,3,16,71,13,50,50,8,6,78,22,7,55,2,36
6,1,6,1,2,93,5,50,50,2,3,7,81,12,7,30,70,3,4,3,48,52,0,8,4,7,31,52,17,8,9,84,16,17,18,65,8,6,6,8,51,28,21,50,50,5,6,70,30,0,57,15,28
7,2,6,3,10,50,40,60,40,9,8,9,45,45,10,20,80,1,10,3,20,50,30,2,10,9,70,5,25,8,8,40,60,15,15,70,6,8,8,8,50,20,30,50,50,7,8,55,45,5,60,5,30
8,7,6,7,10,60,30,34,66,2,8,3,20,60,20,50,50,2,4,5,33,26,41,8,4,5,30,20,50,8,9,60,40,15,40,45,7,5,5,6,25,40,35,50,50,9,7,35,65,20,25,5,50
9,2,6,2,0,60,40,20,80,1,7,3,60,10,30,40,60,8,2,6,0,60,40,9,2,9,10,80,10,1,4,80,20,40,0,60,1,6,2,2,20,60,20,40,60,10,9,20,80,50,20,0,30
10,8,6,9,79,20,1,57,43,2,8,2,66,22,12,50,50,3,2,9,94,0,6,8,2,6,43,47,10,8,8,66,34,16,43,41,3,2,9,8,41,24,35,22,78,9,9,62,38,0,84,10,6
11,7,6,7,33,51,16,31,69,3,3,5,48,45,7,66,34,2,6,2,50,49,1,3,6,6,61,15,24,7,8,39,61,22,33,45,6,4,7,5,32,33,35,83,17,8,8,32,68,11,51,0,38
12,3,6,4,20,41,39,69,31,8,6,9,40,30,30,61,39,3,4,4,15,54,31,3,4,3,17,44,39,3,4,39,61,50,34,16,3,5,4,4,31,37,32,0,100,7,7,40,60,8,38,15,39
13,8,6,8,20,76,4,17,83,10,9,7,52,40,8,83,17,3,1,5,31,23,46,3,1,2,75,25,0,9,9,86,14,18,10,72,2,4,4,2,18,63,19,50,50,8,8,17,83,0,13,0,87
14,2,6,3,21,61,18,62,38,5,2,7,68,30,2,50,50,1,8,1,23,54,23,7,8,7,35,55,10,9,9,38,62,16,53,31,7,4,2,6,19,42,39,45,55,8,7,50,50,5,62,5,28
15,5,6,5,35,36,29,51,49,2,8,6,40,20,40,50,50,10,8,10,30,70,0,6,8,7,10,80,10,10,10,10,90,0,0,100,4,3,6,5,20,60,20,20,80,5,7,41,59,0,50,0,50
