Subject,1--1,1--2,1--3,1--4,1--5,1--6,1--7,1--8,2--1,2--2,2--3,2--4,2--5,2--6,3--1,3--2,3--3,3--4,3--5,3--6,3--7,4--1,4--2,4--3,4--4,4--5,4--6,4--7,4--8,5--1,5--2,5--3,5--4,5--5,5--6,6--1,6--2,6--3,6--4,6--5,6--6,6--7,6--8,6--9,7--1,7--2,7--3,7--4,7--5,7--6,7--7,7--8
1,7,6,7,30,41,29,50,50,3,8,8,60,10,30,7,7,39,61,42,15,43,4,2,5,11,44,45,50,50,3,8,7,50,15,35,6,8,2,7,19,41,40,55,45,8,3,63,37,43,29,23,5
2,2,6,2,0,60,40,41,59,4,8,8,82,2,16,4,3,62,38,19,29,52,8,5,8,5,80,15,80,20,9,5,7,21,70,9,4,7,6,3,11,52,37,41,59,8,9,41,59,7,29,8,56
3,2,6,2,0,100,0,51,49,10,4,9,10,90,0,2,3,10,90,5,65,30,5,3,5,0,100,0,50,50,10,7,10,10,69,21,5,9,8,6,23,56,21,30,70,5,7,65,35,0,90,0,10
4,8,6,7,26,41,33,58,42,1,3,1,41,54,5,6,6,64,36,37,24,39,7,6,7,34,45,21,43,57,8,7,7,24,39,37,2,6,4,2,16,46,38,15,85,8,5,64,36,25,20,29,26
5,2,6,3,0,80,20,50,50,2,7,8,60,20,20,7,7,50,50,40,20,40,4,3,6,0,40,60,50,50,8,8,9,33,34,33,8,4,3,4,40,20,40,50,50,7,7,50,50,10,60,10,20
6,3,6,4,11,84,5,79,21,1,8,4,61,33,6,3,3,80,20,20,80,0,4,4,4,42,46,12,80,20,10,9,10,27,53,20,7,6,6,7,36,30,34,50,50,6,7,65,35,12,68,15,5
7,2,6,2,0,100,0,50,50,3,8,8,70,10,20,9,8,50,50,50,0,50,8,10,8,0,80,20,50,50,10,8,10,40,60,0,8,8,8,8,20,60,20,50,50,7,7,60,40,30,40,0,30
8,7,6,5,11,37,52,33,67,5,4,4,34,16,50,7,8,33,67,48,52,0,3,4,3,33,49,18,35,65,9,9,9,24,59,17,4,5,5,5,9,51,40,30,70,8,7,63,37,8,56,12,24
9,10,6,10,0,100,0,50,50,8,7,8,20,80,0,3,7,80,20,40,30,30,8,2,8,0,80,20,50,50,8,4,9,0,80,20,3,6,2,2,20,60,20,20,80,7,7,30,70,10,70,10,10
10,7,6,7,25,61,14,26,74,4,3,3,16,60,24,7,8,48,52,33,29,38,7,2,3,52,13,35,78,22,4,8,4,11,73,16,7,2,9,8,19,51,30,19,81,9,9,43,57,14,38,12,36
11,8,6,8,19,60,21,80,20,3,8,5,40,30,30,4,3,40,60,20,60,20,9,6,8,20,60,20,70,30,7,8,9,38,25,37,6,4,7,7,30,40,30,20,80,7,5,60,40,50,25,20,5
12,3,6,4,20,60,20,80,20,7,9,9,75,20,5,7,6,50,50,30,55,15,4,4,4,0,70,30,50,50,9,4,5,45,25,30,7,5,4,6,20,70,10,50,50,8,7,35,65,10,40,5,45
13,8,6,8,30,65,5,60,40,3,7,6,70,16,14,9,9,20,80,30,60,10,4,1,2,70,30,0,5,95,7,9,9,60,20,20,4,4,4,3,35,56,9,41,59,7,7,35,65,0,40,10,50
14,4,6,5,47,37,16,29,71,3,8,6,62,15,23,4,2,60,40,5,63,32,5,8,8,51,15,34,48,52,9,9,9,44,45,11,7,4,2,6,33,35,32,56,44,8,8,30,70,15,42,4,39
15,6,6,6,37,38,25,68,32,8,8,8,36,40,24,8,8,80,20,47,12,41,8,8,7,45,24,31,35,65,8,10,8,36,38,26,8,3,6,6,33,29,38,40,60,3,6,81,19,4,61,0,35
